node,clustering_coefficient
O14944,0.2615156549520767
O94916,0.22774418975541152
PZP,0.13669488406330513
Q6PI47,0.1163489483276686
P54108,0.08515889372312546
Q9UPU7,0.18419662169971765
Q6ZN11,0.24079457364341086
Q5FYB1,0.13270442912136723
Q9NY26,0.13274440210866956
Q92499,0.250555074135765
Q96FB5,0.1329032258064516
Q9BS16,0.356503499408112
Q8NH92,0.6414634146341464
O76054,0.11392008766094
Q7Z7A1,0.18204269173500456
Q96NJ6,0.21732365145228216
Q969S8,0.20619072533843313
Q16769,0.08117952493509513
P26358,0.19051412355638264
Q8IY51,0.18413095610468147
Q8N0U7,0.09952996474735605
Q9P260,0.1317812120263309
Q8NDV7,0.1819174381109677
Q6IE38,0.13476510067114095
Q8N9I5,0.1457875457875458
Q8TBZ9,0.30319148936170215
O75052,0.14945841089008993
Q96FF7,0.2067363530778165
P55157,0.1989999174562627
Q9ULC4,0.21972436229598122
Q6UWX4,0.07287954383464006
Q96KW2,0.10552380952380952
Q8IY95,0.14346783442810968
Q9H488,0.13110675641134872
Q9H3D4,0.15638749326279142
Q6DD88,0.1342792248864355
Q68DC2,0.1694658317079013
Q14123,0.13543622848200312
Q5SSQ6,0.21195097037793667
P14210,0.2913109327311257
P03897,0.29917097109396923
P53350,0.1646185655759756
O14929,0.22309196024943162
Q9Y5S2,0.17053243414903996
Q13255,0.24665178942976387
Q9Y6W6,0.215763142091081
Q6GMV2,0.27592150900934603
Q86SX6,0.16293423844357888
Q3SY52,0.12292002147074611
Q96L94,0.14026960318967155
Q5JSQ8,0.3035294117647059
O95825,0.16419019880006977
P32004,0.19180141633134085
O95274,0.07202945145008412
Q96A37,0.3214461923284339
Q38SD2,0.1490825000609924
Q9BRJ9,0.4067015927709996
P55347,0.1686373767519172
Q9BSM1,0.19018491459666448
Q8ND25,0.14986844768265534
Q03518,0.18643168160063334
P38935,0.19605213948863895
Q9Y2Y0,0.11221772179992232
P23284,0.19225586003692052
LOC388210,0.14505778851129894
Q6IPX1,0.17725750276891872
Q02153,0.1443837161737225
Q8WXD2,0.3999574375558054
Q6ZS17,0.11387434554973822
Q96IW2,0.13256113256113256
Q6P2I7,0.15457184325108853
Q9Y2W1,0.22665306299657015
Q9NYA1,0.2009665030776284
Q2M2W7,0.1478738652651696
Q96CS3,0.1359431139598643
Q13363,0.14688969962917467
Q9UGM3,0.13132974797005167
Q9BX26,0.140429193238182
Q9BY21,0.13831904193349975
Q5VU36,0.2948717948717949
P21964,0.14656488339852794
Q14566,0.2323624945473685
Q8N0Y5,0.593939393939394
P38606,0.15425731928497755
Q8IUB9,0.5612264330603695
Q15434,0.10621964726931925
D6RF30,0.2217543859649123
Q96T66,0.1551120965755112
O00501,0.23461092786377066
PRNT,0.06477732793522267
Q07954,0.20778087652885482
Q6NSJ2,0.11249076127124907
Q9ULM2,0.19530040804840298
P56278,0.3426829268292683
P62273,0.26289527090335674
