node,clustering_coefficient
O13539,0.05580693815987934
P53935,0.08333333333333333
O74329,0.0
P13693,0.01818181818181818
Q6NU95,0.0
Q9HAB8,0.025525525525525526
A5D8T8,0.1111111111111111
P36017,0.05862584017923824
Q17583,0.0
P38953,0.14624505928853754
E1JIT1,0.0
P52600,0.23581560283687944
Q9UBG3,0.003367003367003367
B8ZXI1,1.0
Q9VYT9,0.0
Q922G0,0.0
Q10183,0.0
A5JYW9,0.0
B9DGV7,0.0
P77743,0.17729138166894665
Q8LCU7,0.0
Q5U5Z8,0.0
Q7SZP2,0.0
O01734,0.6
Q9VPA9,0.0
Q66HA1,0.0
P75938,0.0
F4JAF4,0.0
C0H4Y0,0.0
A0A8I6B5X1,0.0
Q9SBF3,0.0
Q923F1,0.3333333333333333
Q5A4E3,0.0
O54785,0.0
Q5JR12,0.0
12797892,0.0
Q99PU8,0.0
Q9C641,0.0
P0A6J3,0.0
O54898,0.0
P09624,0.04915824915824916
P17334,0.11666666666666667
Q9VKF8,0.0
P32639,0.027576197387518143
O59703,0.0
A2RUW1,0.0
Q9VGT9,0.0
Q95XK4,0.0
Q9Y266,0.043859649122807015
Q9H2J4,0.03836734693877551
G3HQA7,0.0
P12687,0.043478260869565216
O43760,0.06382978723404255
Q7KIS4,0.0
Q8WZ73,0.045454545454545456
Q9UK00,0.007743362831858407
Q9SRM0,0.0
P28722,0.16666666666666666
Q96CG8,0.10606060606060606
Q19742,0.0
Q12186,0.09473684210526316
A0A654FF60,0.3913690476190476
Q9VFC4,0.0
P56693,0.0
Q92785,0.37037037037037035
P18091,0.0
Q9U1Z9,0.0
Q61743,0.0
P06722,0.2868903803131991
Q7TSB7,0.0
P19358,0.3333333333333333
Q96DU3,0.0
Q9M1B6,0.0
G5EGB2,0.26666666666666666
Q7JUX9,0.0
Q11120,0.0
P39723,0.0
Q9VYV5,0.0
Q9SGA6,0.846832397754611
Q5U4E5,0.0
Q8BZ09,0.0
Q9BYR6,0.0
Q9HE06,0.0
Q9DCN2,0.16666666666666666
100506311,0.0
Q9VSC5,0.0
P40545,0.0
P52800,0.0
Q91WQ3,0.0
Q9SIE1,0.0
Q01617,0.0
Q8T9H8,0.0
O57378,0.0
Q96MV8,0.0
O44954,0.07142857142857142
P08413,0.0
Q969P6,0.0
P12961,0.16666666666666666
P0AFI7,0.06666666666666667
Q54UU2,0.0
P49415,0.0
Q9LF80,0.0
Q19232,0.0
P01215,0.004329004329004329
P0DML3,0.13333333333333333
P0CX11,0.0
A0A1D8PIP3,0.0
Q09747,0.0
Q5E9D1,0.0
P0A6T3,0.1562588568729334
Q8BYW1,0.0
Q32PZ3,0.0
O43933,0.06936026936026936
Q9FH28,0.0
Q61500,0.0
B5TVM2,0.0
Q63270,0.0
Q21209,0.0
Q99PG2,0.0
A2RVR7,0.0
E1JI78,0.0
406891,0.0
A1Z9G7,0.0
Q9NS28,0.0
Q14686,0.3894736842105263
Q39071,0.0
Q8AYC9,0.0
ZK546.5,0.0
O15503,0.0
Q9R0Q1,0.0
P69826,0.3137254901960784
O13879,0.0
P23696,0.0
Q8IKL0,0.0
Q8TGV0,0.0
P15313,0.08831168831168831
Q6TUF1,0.0
Q9Z1X1,0.0
P26954,0.0
Q05682,0.09090909090909091
Q9DCL8,0.09881422924901186
Q6NXH9,0.3333333333333333
Q22123,0.0
Q08649,0.033674339300937765
P77704,0.01818181818181818
A0A384KI27,0.0
Q8NEG5,0.2
Q2V3N5,0.0
Q8I3H9,0.0
P05373,0.07142857142857142
854639,0.0
Q9VKB9,0.0
P0ACC9,0.20243550310714958
Q6NXT1,0.01818181818181818
Q18942,0.0
Q94A94,0.0
Q8BST6,0.0
Q7YX52,0.0
O70619,0.0
Q9ZV05,0.0
Q9VZB1,0.0
Q91XX7,0.0
P08753,0.0
Q92781,0.0
A2VCK2,0.0
P31449,0.2694805194805195
Q9WV02,0.3055555555555556
Q21614,0.0
P16914,0.0
Q91569,0.0
Q4VC05,0.19326241134751773
Q8ITY3,0.0
Q96QE4,0.0
Q9NZB8,0.006666666666666667
Q8GYC7,0.8571428571428571
Q9VUP0,0.0
Q53FT3,0.07575757575757576
A0A5S9Y2W4,0.0
Q9XXN3,0.0
