node,clustering_coefficient
,0.02093973442288049
P34082,0.0013476719359072301
EBI-11522506,0.0
Q9VG97,0.0
A0A1D6IJ76,0.0
EBI-6901865,0.0
Q8IVP9,0.08888888888888889
Q9MAQ0,0.0
P53349,0.07142857142857142
O25835,0.0
O34703,0.0
Q85228,0.0
B4FY91,0.0
EBI-6836951,0.0
EBI-6773172,0.0
Q8BWT1,0.16666666666666666
EBI-6829466,0.0
A0A1D6ECE1,0.0
Q9HCB6,0.19047619047619047
Q9VPJ6,0.0
EBI-1059039,0.2
P19456,0.020689655172413793
Q9UEE9,0.0761904761904762
Q18594,0.0
Q7Z5N4,0.0
Q3KSR5,0.6
Q27433,0.0
Q9WTL8-2,0.4666666666666667
Q5TCS8-1,0.0
A0A2R8YHG5,0.0
Q0WKF2,0.0
O34454,1.0
O13268,0.0
P25774-1,0.0
EBI-356053,0.0
Q05655,0.030976037405026302
Q8C3Y4,0.0
Q9ZV45,0.13333333333333333
B4E3S0,0.0
H0YJ74,0.0
P16144-1,1.0
P77736,0.0
EBI-6797384,0.0
Q81VN7,0.0
O84326,0.20512820512820512
C0HF05,0.0
Q6DJE0,0.0
Q9JKE2,0.0
ENSG00000141736,0.0
Q9VKY2,0.0
O00571-1,0.0
ENSG00000105398,0.0
P00282,0.0
P39740,1.0
Q10253,0.0
Q5HLN6,0.0
O43550,0.0
P36159,0.5321637426900585
Q8N556-2,0.0
Q9P2L0,0.4358974358974359
EBI-2561650,0.0
A0A024R856,0.0
Q9NIU2,0.0
Q8N9R8,0.058823529411764705
Q96LX8,0.07509881422924901
Q386Y7,0.0
P54764-2,0.02462121212121212
Q15661-PRO_0000027480,0.0
P91182,0.0
D3XDN5,0.0
P07273,0.35185185185185186
EBI-13741122,0.0
Q9VCU6,0.0
P01893,0.21794871794871795
Q9VWH5,0.0
Q16643-3,0.0
P02522,0.0
EBI-823422,0.0
G3G900,0.0
A8MS32,0.0
Q9VBX1,0.0
A0A1D6FU50,0.0
H0RN85,0.0
Q12345,0.36502177068214803
A0A1D6JSU6,0.0
H2KYT1,0.0
Q86V35,0.0
K7UCK5,0.0
Q9D0M5,0.0
EBI-15531309,0.0
A0A1D6K3U0,0.0
O00602-PRO_0000009136,0.033738191632928474
A1ZBK7,0.0
Q8WWZ7,0.0
A0A1D6FQ74,0.0
A0A1D6NGC0,0.0
P02686-1,0.0
P62824,0.0
Q02962,0.057971014492753624
P19332-5,0.0
O75787,0.049911920140927775
Q12418,0.6428571428571429
P84173,0.0
Q13421-3,0.0
Q9H9L3,0.12648221343873517
Q9R0X5,0.1
Q10MT2,0.0
Q9W4J5,0.0
Q03373,0.14444444444444443
Q9BQW3,0.0
O48549,0.0
Q7XJK8,0.06666666666666667
Q0P7R1,0.0971322849213691
P34122,0.2777777777777778
EBI-6767920,0.0
P78963,0.0
Q99LD9,0.0
P12686,0.3247863247863248
Q9J0X9,0.09803921568627451
B4E1G1,0.016666666666666666
Q557E0,0.0
P40380,0.4
P16666,1.0
K9URB3,0.3
Q12019,0.24248777078965758
Q6NUN7,0.6666666666666666
EBI-6791561,0.0
Q9SYK9,0.0
H6VQ94,0.0
EBI-6813461,0.0
C0PEE2,0.0
Q6UX34,0.1067193675889328
Q72DD5,0.0
EBI-13727927,0.0
O42852,0.0
Q9P2P6-3,0.0
G5EDS1,0.004082878794092585
B7ZY87,0.0
Q887D0,0.0
Q15669,0.06060606060606061
Q19989,0.03571428571428571
Q9UAX1,0.0
Q72EJ9,0.0
EBI-6785104,0.0
F4JE34,0.0
Q9VNS5,0.0
Q5VYV7,0.1330049261083744
Q12800-2,0.10606060606060606
O70343-1,0.0
H0Y714,0.09523809523809523
P42867,0.0
Q3UYC8,0.0
B6SJZ4,0.0
A0A1D6N2I0,0.0
Q69091,0.0
Q9VL50,0.0
A0A1D6KJH2,0.0
Q86SQ7,0.05263157894736842
P32343,0.6666666666666666
Q7PB69,0.0
EBI-6780859,0.0
A0A1D6GRR4,0.0
A0A1D6ESZ2,0.0
Q20052,0.002849002849002849
Q58EZ8,0.0
Q72D39,0.0
Q32P34,0.0
Q7Z5A8-2,0.008515364679748241
A0N5G1,0.0
P36060,0.3464052287581699
B2R7W3,0.0
P09884,0.16883116883116883
B7ZYV3,0.0
Q9ESJ4,0.08333333333333333
Q9FNZ2,0.0
Q6XT43,0.0
Q9UHA4,0.09815078236130868
A0A1D6FL46,0.0
Q9XIN6,0.006483937518420277
P23595,0.2292929292929293
M0R7B4,0.0
P91643,0.0
O75437,0.0
Q15165-3,0.0
K7VQA2,0.0
A0A1D6LF38,0.0
O77622,0.0
P91277,0.045454545454545456
Q0PB94,0.10606060606060606
Q17958,0.0
Q9CZ05,1.0
At2G01240,0.0
Q8TBR7,0.0
G5ECT7,0.0
O25626,0.011695906432748537
A0A1D6F6H5,0.0028846153846153848
P0AD70,0.0
P47158,0.14166666666666666
O25965,0.0
P29295,0.06912442396313365
Q9M0K4,1.0
Q9VWM5,0.0
Q8TEA8,0.047619047619047616
Q9W0L4,0.0
Q6IQX2,1.0
Q6NYR1,0.0
P0AE60,0.25274725274725274
P77409,0.3333333333333333
Q9NY33-1,0.0
P62095,0.0
P41935,0.0
Q86TB3,0.3333333333333333
EBI-9106245,0.0
B4FQP5,0.0
P53877,0.17682926829268292
H2A0T5,0.0
P03101,0.16666666666666666
Q13823,0.17902621722846443
Q9VI67,0.0
P14790,0.0
Q1WWK5,0.0
P82193,0.0
A0A6H3AT72,0.0
P34766,0.0017822212562486415
P06788,0.02598870056497175
F4IJ08,0.0
Q8LC03,0.03201970443349754
Q68FQ2,0.0
A1Z6N5,0.0
Q836J0,0.0
Q9FK28,0.09782608695652174
P75085,0.0
C0PD82,0.0
Q9W5D6,0.0
Q5U204,0.0
Q12320,0.2
EBI-25635153,1.0
Q96KA5,0.03463203463203463
P27372,0.047619047619047616
P78022,0.47619047619047616
Q9Y5R5,0.0
Q9ZWC6,0.0
B4FC10,0.0
Q70Z35-3,0.0
K7VV70,0.0
Q6PDV8,0.0
