node,degree_centrality,closeness_centrality,betweenness_centrality
,0.001498767,0.722317806527232,0
Q9H2F9,0.000179852,0.7671785751803678,0
Q14207,0.000164864,0.7408161193053373,0
P32629,0.00019484,0.6588061541533129,0
P40123,0.000224815,0.7583852227111283,0
Q9LSB2,0.000134889,0.431892693130653,0
O00220,0.000674445,0.7739939833216344,0
Q96T17-2,0.000157371,0.7231742160372017,0
Q9NX08,0.000359704,0.7558353499689087,0
Q24547,0.000134889,0.4439188079696269,0
Q14155,0.000307247,0.8145569174013758,0
Q9UBB5,0.000382186,0.81466988459719,0
P78536,0.000202334,0.8189583128736126,0
P20659,0.000157371,0.6280335574274959,0
Q8ND83,0.00035221,0.8272793297419551,0
Q8BHX3,0.000179852,0.7158917023772777,0
O00626,0.00025479,0.7128727005812451,0
Q83DF6,0.000299753,0.7103763035988007,0
P23226,0.000277272,0.4721195243837554,0
Q9H5J0,0.000239803,0.7137848976754035,0
O00182-2,0.000494593,0.7136818338214139,0
P10914,0.000307247,0.7591346006968563,0
Q9NRD5,0.003049991,0.8382578559450676,0
A0A1D6EK57,0.000577025,0.0696413251691268,0
P23467,0.000262284,0.7442114937298199,0
P32496,0.000412161,0.6324638930401075,0
P38316,0.001079112,0.6534456227370858,0
Q9FVC1,0.00019484,0.4108514304269233,0
Q9BWX1,0.000149877,0.7049663890906973,0
O22152,0.000284766,0.4687972066352455,0
Q9LVI6,0.000786853,0.5741505804924373,0
O70133,0.000134889,0.6901197136628089,0
P22209,0.00019484,0.6443870440152011,0
P51572,0.000704421,0.8619137552266535,0
Q9P273,0.000209827,0.8326277685961035,0
P13382,0.000232309,0.6279622883073067,0
P40303,0.000404667,0.6648750512463191,0
A0AVF1,0.000157371,0.6961853630368081,0
EBI-13646931,0.000149877,0.4424514680512625,0
A0A024R8A9,0.000344716,0.6255497503284478,0
C0PHL6,0.000487099,0.0674267058268216,0
P40616,0.000344716,0.8529652511085754,0
C0P6G9,0.000157371,0.0664809165510985,0
P34910-2,0.000232309,0.5981142560121556,0
B6TDB2,0.000329729,0.0627691796919587,0
Q9M2Z4,0.000719408,0.4949220018506578,0
P22893,0.000277272,0.7635529642845711,0
Q9HAP6,0.000142383,0.6800781502420651,0
Q9Y4F5,0.000142383,0.7889051693742952,0
Q9HD20,0.000157371,0.7740194797140124,0
Q96F63,0.000164864,0.7397167577542059,0
P09874,0.00173857,0.8681333033983392,0
Q9H7H0-2,0.000164864,0.7271526704744573,0
O75973,0.000172358,0.6882906728376061,0
O14531,0.000187346,0.7326180509504617,0
P39108,0.00044963,0.6573006148103351,0
Q17539,0.000157371,0.3487502611619069,0
P50101,0.000382186,0.6202937705658704,0
Q9NPF5,0.000659458,0.8472578007725975,0
Q9GZL7,0.000164864,0.7830536225000978,0
Q6ZUT1,0.000427149,0.7326004801834238,0
Q9NS23-2,0.000172358,0.7173705451273424,0
Q99J95,0.000831816,0.639156289547292,0
P36149,0.000232309,0.6665536791266579,0
Q9UBS3,0.000299753,0.7144734199495744,0
A0A1D6GLE1,0.000142383,0.0643739887775834,0
P53007,0.000809334,0.8875884043733516,0
Q8IY31-3,0.000299753,0.6323151647544021,0
Q6XD76,0.000382186,0.7379447251243166,0
B6SZS2,0.000172358,0.0631958610858513,0
P06464,0.000359704,0.74915968175002,0
Q9BUF7-2,0.000172358,0.6149913779024766,0
P78368,0.000494593,0.8676351984512785,0
Q6ZN54-2,0.000269778,0.7203656625354811,0
O14498,0.000299753,0.7230482266628058,0
Q96MY7,0.000562038,0.7211530842116063,0
O43402,0.000322235,0.8416656466903742,0
Q9NTJ5,0.000509581,0.8767392762370431,0
P25118,0.000209827,0.6453288345789292,0
Q9UDY4,0.000479606,0.8449320134260968,0
Q9GZT3,0.000532062,0.8053811852283171,0
O08586,0.000187346,0.6897587976562599,0
P80188,0.000517075,0.6673056344908831,0
Q6UWZ7,0.000134889,0.7619332989785845,0
P00334,0.00019484,0.4872589688879274,0
Q02774,0.00025479,0.5776714179260594,0
O95863,0.000696927,0.7793439828614098,0
Q8WUJ0,0.000404667,0.7621469809615866,0
P54253,0.004706129,0.8790114568353347,0
Q13480,0.001011668,0.8498635351233323,0
Q53HC0,0.000329729,0.7548442950330011,0
O95400,0.000726902,0.8004548688307992,0
Q9ZUU8,0.000232309,0.4589324225802221,0
Q03020,0.000149877,0.7683255832340796,0
P26343,0.000172358,0.6430440668252144,0
B4FRU9,0.000179852,0.0663531691783243,0
Q9Y3A2,0.00019484,0.8191375197538948,0
Q9BWE0,0.000217321,0.7928061906032511,0
Q9M223,0.000209827,0.476731240372496,0
C0HGV5,0.000247297,0.0655790804964888,0
Q14919,0.000284766,0.7224343148549317,0
A0A1D6F810,0.000134889,0.0515619873097853,0
O25546,0.000329729,0.0015587874891331,0
Q9LDC0,0.00019484,0.5725376359348083,0
Q1CXR8,0.000224815,0.0016705302938789,0
EBI-13660067,0.000172358,0.4408773176437442,0
A0A178WEE3,0.000209827,0.479543065639027,0
Q6QNY1,0.000427149,0.7976276959545231,0
Q8RWS9,0.000209827,0.4697702259896669,0
Q9VNE1,0.000779359,0.5253509074610604,0
P47136,0.000202334,0.6146913893526821,0
Q15696,0.000404667,0.7385938647632966,0
P36897,0.000344716,0.8051060757890689,0
P25301,0.000157371,0.6205924450734877,0
Q8TCU4,0.000299753,0.8192715369190189,0
P21375,0.000134889,0.6422366430717007,0
B6SHZ1,0.000142383,0.0644598238557761,0
P0AFD1,0.000232309,0.5784303661800021,0
Q6ZNK6,0.000764371,0.7772150654875686,0
P46467,0.000442136,0.7455218179697615,0
Q8IUR5-4,0.00019484,0.6439903506673915,0
Q6ZN17,0.000179852,0.8221013723600056,0
P20160,0.000164864,0.7466611460099741,0
O00327,0.000337223,0.8150772610597148,0
P13807,0.000636976,0.8470468188551274,0
P38193,0.000149877,0.6683282365098988,0
B6SNE2,0.000134889,0.0616014151854533,0
O60504,0.001064125,0.7802047176381077,0
Q9ULV5-2,0.000232309,0.6177582265556267,0
P23368,0.000142383,0.8238872458258392,0
Q5H9J7,0.000187346,0.7036672022470379,0
P56181-2,0.000202334,0.7278752148022708,0
Q99683,0.000532062,0.7649292804207004,0
Q5T6F2,0.000464618,0.836096477405204,0
Q9ERF3,0.000209827,0.7197278045952722,0
O95436-2,0.000239803,0.6840289284745945,0
EBI-13676584,0.000157371,0.4439357112434037,0
