node,clustering_coefficient
Q5TD97,1.0
P01133,0.1630192502532928
P14209,0.0
Q9NZR2,0.0
O95665,0.6666666666666666
Q96AZ1,0.0
P61601,0.5769230769230769
Q8NGC9,0.0
P41597,0.1913978494623656
Q9BYV9,0.3333333333333333
O60682,0.0
Q8IYA6,0.8095238095238095
P0C5Z0,0.8888888888888888
Q00005,0.6033333333333334
P43166,0.0
O75449,0.4
P51788,0.0
Q96LJ7,0.0
Q9NUQ7,0.6666666666666666
C10orf25,0.0
O15040,0.0
O60234,0.0
O75794,0.0
Q9BZ67,0.0
Q8N137,0.0
Q9UMS0,0.575
Q9BRT9,0.8932806324110671
P35716,0.0
Q8NEY1,0.0
P34903,0.8666666666666667
P09104,0.4470899470899471
P08620,0.7555555555555555
O43559,0.7316017316017316
Q9NYD6,0.0
Q504Q3,0.8222222222222222
Q15717,0.31794871794871793
Q14774,0.0
Q9Y2J8,0.0
Q14644,0.0
Q8WW62,1.0
Q6P1J9,0.5665024630541872
Q9Y5E6,0.0
Q9Y5X3,0.3815126050420168
A0AV96,0.0
Q6XE24,0.0
Q96R45,0.0
Q2M2Z5,0.0
Q9BVA1,0.24444444444444444
Q96S65,0.0
O15492,0.717391304347826
Q6ZSC3,0.0
O15524,0.31462585034013607
Q9BSC4,0.6996154393960974
Q8TB61,0.0
Q96M94,0.0
Q9NX55,0.6
Q6ZSY5,1.0
P0DKX0,0.0
CHDC2,0.0
Q9BUL5,0.0
Q5FVE4,0.17857142857142858
Q9UQB8,0.3497536945812808
A6NF36,0.0
Q9NXF8,1.0
A6NJI1,0.0
P62736,0.21428571428571427
P62380,0.6
P25685,0.2780487804878049
O95104,1.0
Q96HJ5,0.0
Q9NRC1,0.0
Q86V87,0.0
Q70UQ0,0.0
O95416,0.0
FCGR1B,0.0
Q7Z7C8,0.7746031746031746
Q13838,0.3402443539429841
Q8WTX9,0.0
Q9HD23,0.0
Q8TDX6,0.6666666666666666
Q6P444,0.0
Q96D96,0.0
Q9NYW6,0.0
P26440,0.43636363636363634
Q7Z3B1,0.5
P10644,0.3239795918367347
Q96GN5,1.0
O75161,0.43636363636363634
Q9Y5G7,0.0
Q5T440,0.8545454545454545
Q9UBR4,0.3
O60500,0.221505376344086
O75152,0.3333333333333333
P26718,0.09047619047619047
P0CI00,0.0
Q6P2H3,0.0
O14645,1.0
O14514,0.3
O14545,0.0
Q9NQR7,0.0
Q8WTS6,0.16666666666666666
Q504U0,0.0
O14522,0.0
Q5JVG8,0.0
Q96N67,0.26666666666666666
P24043,0.7145877378435518
Q5TZF3,0.0
O75469,0.2727272727272727
Q12767,0.0
Q6UXB0,0.0
P52292,0.19025974025974027
P51810,0.0
P22695,0.546328071379547
Q9P2R6,0.0
Q5JX69,0.0
Q969V5,0.4
Q8N4Z0,0.0
Q9BQ70,0.3333333333333333
Q96DX7,0.0
O15060,0.0
P20036,0.3333333333333333
Q6XQN6,0.3619047619047619
Q8N394,0.0
Q96MZ0,0.0
O94901,0.4393939393939394
Q9UHH9,0.7746938775510204
P51857,0.5541125541125541
Q6ICL3,0.0
Q96R06,0.6344155844155844
P40394,0.24242424242424243
Q02750,0.18857356235997014
P35914,0.5558441558441558
P00734,0.1563573883161512
Q7Z410,0.0
Q9BV99,0.0
Q9BZM2,1.0
Q8WXK1,0.0
Q6ZVW7,0.0
Q15003,0.5844897959183674
P48443,0.41534391534391535
Q9ULE6,0.0
Q96RQ1,0.0
P23634,0.26666666666666666
A2RU30,0.6666666666666666
Q9H3P7,0.0
P13805,0.7254901960784313
Q15303,0.17753975981824083
Q9NZN1,0.1
O00238,0.35522664199814985
Q8N960,0.0
P32241,0.13333333333333333
O14633,1.0
O43633,0.34064969271290607
Q96AC6,0.0
Q8NEJ9,0.6577117572692794
A8MRT5,0.0
Q8IUB2,0.0
Q8N0X7,0.1111111111111111
Q401N2,0.0
P08709,0.3076923076923077
O43913,0.654485049833887
P85298,0.5
O75688,0.3333333333333333
A6NLJ0,0.0
Q9UBP6,0.3079710144927536
GLRA4,0.0
Q9H190,0.0
P49207,0.7402318591670245
Q8NDB6,0.0
Q07890,0.5
P56377,0.49707602339181284
Q86UT5,0.0
Q92804,0.5862068965517241
B7ZBB8,0.0
Q6AI08,0.0
Q9Y5E5,0.0
ENSP00000455561,0.6444444444444445
P16152,0.34558823529411764
P42830,0.3333333333333333
Q8WVB3,1.0
Q86U90,0.23809523809523808
Q15760,0.0
O95256,0.6666666666666666
Q9BXC1,0.0
Q8N8L6,0.0
P10589,0.6909090909090909
Q99983,0.49538461538461537
Q7Z3Z2,0.3333333333333333
Q9BRJ9,0.0
Q9NYF3,0.0
P49585,0.4
Q96N87,0.0
P29034,1.0
Q8NFT2,0.0
ENSP00000485630,0.9712070874861573
O60481,0.5
Q5U623,0.0
Q8NB15,0.0
P48454,0.26825396825396824
Q6UXL0,0.7
Q2NKJ3,0.7636363636363637
A6NC51,0.0
Q9UM07,0.3333333333333333
Q8N693,0.0
O76083,0.0
Q8NC51,0.950316169828365
P25874,0.26666666666666666
Q5XKK7,0.0
A8MTY7,0.0
Q9BQ95,0.5563218390804597
Q5JPI3,0.0
