node,betweenness_centrality
P03962,0.0
Q8W0Z9,0.0
A0A178WHK2,0.0
Q8TAS1,9.219195310677027e-07
Q9QWT9,0.0
Q13127,0.0
P0A998,1.6322331246327652e-10
Q8VD62,8.786654832288797e-09
O77203,0.0
O76904,0.0
Q10304,0.0
P83782,0.0
Q9STI3,0.0
Q23058,3.9145855430644714e-10
P37624,6.339176923406978e-06
302898,0.0
Q13233,3.536160699909966e-09
Q5VV41,6.544558039866757e-06
Q9C6T1,0.0
Q9H3S7,3.6686750042437165e-07
Q9Z0U4,0.0
Q9JLR5,0.0
Q9V9Z9,0.0
P56873,0.0
Q9NUG6,2.0685182865033496e-06
26816,0.0
Q03214,9.727522195200635e-08
Q9BQQ3,4.674836258531349e-06
P19073,9.828547846230008e-07
Q9JIB6,0.0
A0A286Y967,0.0
Q8T0G1,0.0
G2TRK8,0.0
Q5U4E5,0.0
Q9M9A3,0.0
E1JHJ2,1.2330944460653084e-07
B0BN85,0.0
Q9FZ54,0.0
O14367,6.874606364521147e-10
P51861,0.0
A0A974D9H9,0.0
P43268,9.777299663789691e-08
Q9UTB1,8.421284379298984e-10
O15427,4.5935319656427135e-09
Q96PQ1,2.8758189982753964e-06
O23702,0.0
O45226,9.751123974747674e-08
Q8K410,0.0
O75363,1.4093326682689815e-08
Q92185,2.0571402499692627e-06
Q1MTR2,0.0
Q5A6S2,0.0
Q9R0T7,0.0
Q9GZX7,0.0
Q8K2Z8,0.0
Q91WR6,0.0
851293,0.0
Q9SH14,0.0
Q9VSI2,0.0
Q9XWZ2,0.0
P0A717,1.4646400552677868e-07
Q5J5C9,2.8356999604982566e-08
Q9FG33,0.0
P53687,1.3078281092623492e-06
Q9HBY0,0.0
Q91XU8,0.0
Q05031,2.2995402163585116e-07
Q9Z2D0,3.5047774438700914e-08
Q5F310,0.0
Q6PIL6,5.805324595721699e-07
O94262,1.1270322661346386e-08
Q6PG95,0.0
Q15742,1.770103489991498e-06
A0A974BR45,0.0
P60568,0.0
Q8LAD2,1.3090338309465866e-07
T21B10.3,1.6886405778983775e-07
Q9JJ79,0.0
Q59UI3,0.0
A0A1P8AZT9,0.0
Q6P685,0.0
Q9FMP3,0.0
Q94AT1,0.0
Q63HM2,0.0
Q8IMQ4,0.0
Q9W4K8,0.0
P28007,3.136405208866966e-08
Q0WX57,0.0
100422854,0.0
P30276,0.0
Q9VYV3,0.0
P42228,0.0
Q9SY29,0.0
G5EE36,0.0
O80504,0.0
A0A8M1PZC6,0.0
Q9N2Z7,0.0
O76672,0.0
F4KCK0,0.0
Q5XFW8,0.0
Q9STJ0,0.0
M9PEL6,0.0
O61365,0.0
P91622,0.0
Q09587,7.261556182384594e-07
Q9ZNZ7,1.3465256082693386e-07
Q12265,8.692223038810019e-07
3643827,0.0
O13920,0.0
A1ZBP6,0.0
Q9VRT2,0.0
P39552,6.600841035610303e-09
Q9NVD7,4.179083877972338e-07
P06611,6.043643570877622e-08
P39874,1.1310342098847021e-10
Q4V645,0.0
Q6NMB4,0.0
Q9P7J1,0.0
Q6BDS1,0.0
P0AA49,1.6575212879839184e-08
Q86PB4,0.0
P0CS86,2.0387898043489075e-07
Q96D59,7.696283491615083e-08
Q8T0Q4,0.0
Q6P4F2,2.6287399428936086e-07
O96153,0.0
Q9JK45,3.218519446629341e-09
Q17659,0.0
Q6NYR4,0.0
Q9JLF7,1.8648650573209914e-08
O60315,2.0201915029171938e-09
A0A0D9S8D8,0.0
D3Z012,0.0
Q9SKC1,0.0
Q7TPE5,0.0
G1TEF4,0.0
C0LGU5,0.0
O94345,0.0
Q8SYC0,0.0
Q9Y2Q5,5.065891730213415e-06
P05791,2.881278988151629e-10
Q8N699,1.6283423609449086e-07
P64627,0.0
G5EDD1,0.0
Q9W5B3,0.0
P53273,1.9488043732239372e-07
Q8RYD6,0.0
P54611,0.0
Q0KIE7,0.0
Q8N0Z6,1.223800232457762e-06
Q17439,0.0
Q18909,0.0
P98177,3.867349164321682e-08
P0A905,1.9399627371874255e-07
Q9ES54,0.0
Q22145,0.0
Q9UNG2,1.2847892987895335e-06
Q93009,0.00016868044118093482
A0A384KHU9,0.0
Q9TYQ6,0.0
Q58WW2,7.277990166764273e-06
Q8WXU2,7.642101088390571e-08
P31397,0.0
Q6KAU4,0.0
A0A1U8QPC7,0.0
Q91XD6,1.3093634029525956e-06
Q91ZQ1,0.0
A8JRD4,0.0
Q9BYW1,0.0
P77510,6.260373316337869e-10
Q56YP1,0.0
P61750,0.0
Q99M01,0.0
Q9VDE4,0.0
A0A1P8B1K3,0.0
