node,degree_centrality
O44750,6.74E-05
,0.001498767
K7UEV0,7.49E-06
P17439,2.25E-05
EBI-13692034,3.00E-05
Q9H2F9,0.000179852
Q8IZA0,0.000119901
EBI-13728660,2.25E-05
EBI-16586333,7.49E-06
Q14207,0.000164864
P80162,8.99E-05
ENSG00000183072,7.49E-06
P32629,0.00019484
A0A1D6H871,1.50E-05
P40123,0.000224815
F4IVP3,5.25E-05
A0A287B231,7.49E-06
Q9LSB2,0.000134889
P75085,1.50E-05
A0A1D6F128,8.99E-05
A0A1D6JSL6,3.00E-05
ENSRNOG00000046458,7.49E-06
O13779,7.49E-06
Q9VJ44,7.49E-06
Q60954-2,8.99E-05
Q9LJL3,3.00E-05
Q8WWZ3,8.99E-05
A0A1D6GWC4,2.25E-05
Q5T6M2,7.49E-06
Q8TF27,1.50E-05
Q60F23,7.49E-06
EBI-6811685,7.49E-06
Q8I526,1.50E-05
O00220,0.000674445
A0A1D6KF68,4.50E-05
O60094,7.49E-06
A1ZA28,0.000119901
Q96T17-2,0.000157371
A8MY26,7.49E-06
AT5G59780,1.50E-05
Q9NX08,0.000359704
Q94IF5,0
Q72D52,1.50E-05
P61979,0.000134889
Q24547,0.000134889
Q9JI11,7.49E-05
Q3KQZ1-2,3.00E-05
K7UDG8,7.49E-06
Q14155,0.000307247
EBI-13656503,8.99E-05
Q3TRG2,7.49E-06
Q8ILW7,7.49E-06
Q9VP53,6.00E-05
Q9UBB5,0.000382186
Q6DDF0,7.49E-06
Q12346,4.50E-05
O80673,7.49E-06
P78536,0.000202334
Q9F287,3.75E-05
Q940P8,3.75E-05
Q9FLR1,1.50E-05
G3HGQ1,7.49E-06
P20659,0.000157371
Q9PN54,5.25E-05
A0A0H3JS82,7.49E-06
Q9GPA4,1.50E-05
Q8Z9U1,1.50E-05
Q8ND83,0.00035221
K7TIS7,7.49E-06
Q9QY40,1.50E-05
P68105,4.50E-05
Q24210,0.000119901
Q1DF42,2.25E-05
J3QS39,1.50E-05
A9D4E4,2.25E-05
Q02606,3.75E-05
Q9VD47,8.99E-05
Q9NPH5-6,1.50E-05
Q64550,7.49E-06
A0A1D6JR12,1.50E-05
P40933,3.75E-05
P07598,7.49E-06
A0A1D6ENF4,0
Q6RZZ9,7.49E-06
Q8BHX3,0.000179852
Q5NFP0,7.49E-06
Q10475,1.50E-05
A0A0F7R7N1,1.50E-05
Q8SXV4,9.74E-05
O00626,0.00025479
G3V5S9,3.75E-05
P02920,7.49E-06
Q9NSI6-2,2.25E-05
Q83DF6,0.000299753
P14148,6.74E-05
Q969R2-2,3.00E-05
K7TU64,1.50E-05
Q60864,5.25E-05
Q6P9G4,8.99E-05
Q9DD05,0
EBI-13761107,1.50E-05
Q8H1F4,3.75E-05
P23226,0.000277272
EBI-6786160,7.49E-06
Q9VQ89,1.50E-05
Q9GZG8,3.00E-05
O64764,7.49E-06
Q03455,2.25E-05
P12063,0
O60128,7.49E-06
P84076,2.25E-05
O14048,2.25E-05
A0A1D6K5D2,1.50E-05
Q9H5J0,0.000239803
Q5XIC5,7.49E-06
Q2TSD0,7.49E-06
Q12802-4,3.00E-05
Q8NEF3-2,6.00E-05
A0A1D6FHJ6,7.49E-06
P15274,0.000104914
E9QNG1,0.000134889
FBgn0260642,7.49E-06
P27782,6.74E-05
O45197,7.49E-06
EBI-5274637,1.50E-05
K8FE10,7.49E-06
V9HWH0,2.25E-05
O00182-2,0.000494593
Q966L2,1.50E-05
P10914,0.000307247
Q9NRD5,0.003049991
P30203,7.49E-05
P63241-2,7.49E-06
Q08300,7.49E-06
Q0P8H9,6.74E-05
A0A1D6KGT3,1.50E-05
Q3TYX4,7.49E-06
P01210-PRO_0000008243,7.49E-06
A0A1D6L9Y8,7.49E-06
E9PMS6,8.24E-05
Q9I7L5,7.49E-06
A0A1D6HKB0,7.49E-06
Q12857-2,2.25E-05
Q49I35,7.49E-06
Q57EF8,7.49E-06
P38684,3.00E-05
P0ACV6,3.00E-05
A0A1D6EK57,0.000577025
P40007,9.74E-05
Q0E8U8,2.25E-05
Q9ZNA2,7.49E-06
Q9W2A6,1.50E-05
O15520,6.74E-05
P23467,0.000262284
A0A1D6PZ18,7.49E-06
EBI-6820514,7.49E-06
P34239,5.25E-05
P38306,6.00E-05
Q944G5,6.74E-05
P32496,0.000412161
Q8C5L2,7.49E-06
Q9UJL9,3.00E-05
Q9D3E6,3.75E-05
Q80U23,1.50E-05
F1LU48,7.49E-06
EBI-9976342,7.49E-06
A0A1D6DX51,3.75E-05
Q9Y608-2,5.25E-05
P57730,7.49E-06
Q6IRW3,7.49E-06
EBI-10198695,7.49E-06
Q0V8G5,7.49E-06
P38316,0.001079112
Q9FVC1,0.00019484
B4FKH3,1.50E-05
A0A1D6JBG2,1.50E-05
Q9NJH7,7.49E-06
Q9BWX1,0.000149877
O22152,0.000284766
Q7X3P4,7.49E-06
Q6PRD1,8.24E-05
P43489,1.50E-05
Q9LVI6,0.000786853
O70133,0.000134889
Q9VYJ5,1.50E-05
EBI-10903419,8.99E-05
Q20759,6.74E-05
B6SYD1,7.49E-06
P21693,4.50E-05
A0A1D6HIR5,5.25E-05
Q8W108,1.50E-05
P22209,0.00019484
P77961,3.75E-05
EBI-6833433,7.49E-06
P32266,6.00E-05
O22806,1.50E-05
EBI-10097344,1.50E-05
P51572,0.000704421
A0A024R0K4,7.49E-06
O80734,7.49E-06
Q9P273,0.000209827
P13382,0.000232309
B9X187,2.25E-05
P0C631,0.000119901
D4GTZ0,3.00E-05
P40303,0.000404667
A0AVF1,0.000157371
Q71RS6,3.00E-05
O25797,7.49E-06
P74203,1.50E-05
EBI-6780002,7.49E-06
EBI-6828955,7.49E-06
Q9VNH6,6.74E-05
EBI-13646931,0.000149877
I3LK71,7.49E-06
Q8N6U8-4,7.49E-06
P33260,4.50E-05
EBI-6762954,7.49E-06
Q96MC2,2.25E-05
P26554,7.49E-06
A0A024R8A9,0.000344716
P13579,7.49E-06
Q9Z298,7.49E-06
C0PHL6,0.000487099
Q9VA53,7.49E-05
P40616,0.000344716
P08603-1,2.25E-05
P33453,7.49E-06
A0A1D6KE38,1.50E-05
A4V1Q1,4.50E-05
A0A1D6ER91,2.25E-05
O15484,3.75E-05
C0P6G9,0.000157371
P34910-2,0.000232309
P74428,7.49E-06
O83575,3.00E-05
Q9PIH5,7.49E-06
EBI-130761,7.49E-06
P59324,7.49E-06
P43136,3.75E-05
Q94AU3,7.49E-06
A0A1D6PDR1,7.49E-06
Q925B3,7.49E-06
P31997,3.00E-05
EBI-13735730,3.75E-05
Q45087,0
B6SY29,9.74E-05
P85298-4,3.75E-05
Q9CY66,3.00E-05
P61587,7.49E-05
P06601,7.49E-05
